presentation_id,scenario_id,repeat,sample_a_ref,sample_b_ref,rater_id,sample_a_naturalness,sample_a_warmth,sample_a_clarity,sample_a_pronunciation,sample_a_expressiveness,sample_a_confidence,sample_a_conversational_pacing,sample_a_feels_like_a_real_human,sample_b_naturalness,sample_b_warmth,sample_b_clarity,sample_b_pronunciation,sample_b_expressiveness,sample_b_confidence,sample_b_conversational_pacing,sample_b_feels_like_a_real_human,preferred_sample,notes
greeting-01,greeting,1,,,,,,,,,,,,,,,,,,,,,
greeting-02,greeting,2,,,,,,,,,,,,,,,,,,,,,
greeting-03,greeting,3,,,,,,,,,,,,,,,,,,,,,
greeting-04,greeting,4,,,,,,,,,,,,,,,,,,,,,
greeting-05,greeting,5,,,,,,,,,,,,,,,,,,,,,
greeting-06,greeting,6,,,,,,,,,,,,,,,,,,,,,
greeting-07,greeting,7,,,,,,,,,,,,,,,,,,,,,
greeting-08,greeting,8,,,,,,,,,,,,,,,,,,,,,
greeting-09,greeting,9,,,,,,,,,,,,,,,,,,,,,
greeting-10,greeting,10,,,,,,,,,,,,,,,,,,,,,
simple_faq-01,simple_faq,1,,,,,,,,,,,,,,,,,,,,,
simple_faq-02,simple_faq,2,,,,,,,,,,,,,,,,,,,,,
simple_faq-03,simple_faq,3,,,,,,,,,,,,,,,,,,,,,
simple_faq-04,simple_faq,4,,,,,,,,,,,,,,,,,,,,,
simple_faq-05,simple_faq,5,,,,,,,,,,,,,,,,,,,,,
simple_faq-06,simple_faq,6,,,,,,,,,,,,,,,,,,,,,
simple_faq-07,simple_faq,7,,,,,,,,,,,,,,,,,,,,,
simple_faq-08,simple_faq,8,,,,,,,,,,,,,,,,,,,,,
simple_faq-09,simple_faq,9,,,,,,,,,,,,,,,,,,,,,
simple_faq-10,simple_faq,10,,,,,,,,,,,,,,,,,,,,,
menu_clarification-01,menu_clarification,1,,,,,,,,,,,,,,,,,,,,,
menu_clarification-02,menu_clarification,2,,,,,,,,,,,,,,,,,,,,,
menu_clarification-03,menu_clarification,3,,,,,,,,,,,,,,,,,,,,,
menu_clarification-04,menu_clarification,4,,,,,,,,,,,,,,,,,,,,,
menu_clarification-05,menu_clarification,5,,,,,,,,,,,,,,,,,,,,,
menu_clarification-06,menu_clarification,6,,,,,,,,,,,,,,,,,,,,,
menu_clarification-07,menu_clarification,7,,,,,,,,,,,,,,,,,,,,,
menu_clarification-08,menu_clarification,8,,,,,,,,,,,,,,,,,,,,,
menu_clarification-09,menu_clarification,9,,,,,,,,,,,,,,,,,,,,,
menu_clarification-10,menu_clarification,10,,,,,,,,,,,,,,,,,,,,,
allergy_question-01,allergy_question,1,,,,,,,,,,,,,,,,,,,,,
allergy_question-02,allergy_question,2,,,,,,,,,,,,,,,,,,,,,
allergy_question-03,allergy_question,3,,,,,,,,,,,,,,,,,,,,,
allergy_question-04,allergy_question,4,,,,,,,,,,,,,,,,,,,,,
allergy_question-05,allergy_question,5,,,,,,,,,,,,,,,,,,,,,
allergy_question-06,allergy_question,6,,,,,,,,,,,,,,,,,,,,,
allergy_question-07,allergy_question,7,,,,,,,,,,,,,,,,,,,,,
