arm,scenario_id,repeat,status,missing_reason,customer_speech_end_ms,agent_request_start_ms,agent_text_first_token_ms,provider_request_start_ms,provider_response_ms,first_audio_playback_ms,final_audio_completion_ms,interruption_ms,cancellation_effective_ms,stale_response_incidents,error_count,timeout_count,fallback_count
current_retell_baseline,greeting,1,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,greeting,2,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,greeting,3,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,greeting,4,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,greeting,5,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,greeting,6,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,greeting,7,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,greeting,8,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,greeting,9,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,greeting,10,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,simple_faq,1,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,simple_faq,2,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,simple_faq,3,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,simple_faq,4,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,simple_faq,5,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,simple_faq,6,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,simple_faq,7,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,simple_faq,8,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,simple_faq,9,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,simple_faq,10,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,menu_clarification,1,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,menu_clarification,2,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,menu_clarification,3,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,menu_clarification,4,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,menu_clarification,5,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,menu_clarification,6,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,menu_clarification,7,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,menu_clarification,8,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,menu_clarification,9,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,menu_clarification,10,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,allergy_question,1,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,allergy_question,2,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,allergy_question,3,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,allergy_question,4,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,allergy_question,5,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,allergy_question,6,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,allergy_question,7,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,allergy_question,8,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,allergy_question,9,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,allergy_question,10,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,reservation_availability,1,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,reservation_availability,2,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,reservation_availability,3,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,reservation_availability,4,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,reservation_availability,5,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,reservation_availability,6,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,reservation_availability,7,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,reservation_availability,8,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,reservation_availability,9,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,reservation_availability,10,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,order_correction,1,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,order_correction,2,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,order_correction,3,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,order_correction,4,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,order_correction,5,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,order_correction,6,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,order_correction,7,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,order_correction,8,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,order_correction,9,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,order_correction,10,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,frustration,1,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,frustration,2,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,frustration,3,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,frustration,4,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,frustration,5,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,frustration,6,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,frustration,7,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,frustration,8,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,frustration,9,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,frustration,10,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,interruption,1,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,interruption,2,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,interruption,3,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,interruption,4,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,interruption,5,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,interruption,6,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,interruption,7,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,interruption,8,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,interruption,9,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,interruption,10,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,silence_incomplete_input,1,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,silence_incomplete_input,2,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,silence_incomplete_input,3,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,silence_incomplete_input,4,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,silence_incomplete_input,5,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,silence_incomplete_input,6,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,silence_incomplete_input,7,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,silence_incomplete_input,8,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,silence_incomplete_input,9,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,silence_incomplete_input,10,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
current_retell_baseline,unknown_request,1,missing_authorization,Explicit voice-sample and provider-action authorization was not supplied.,,,,,,,,,,,,,
